Combinacion;CostoMaximo;Costo;Cumplimiento;VASC;Valor Medio
11;31544;23614;100;43281858;4052,138894
12;33637;23190;100;34249069;4083,578721
13;41523;29428;100;46683327;4107,561303
14;41523;31594;100;47106665;4183,733557
15;42741;32844;100;46565020;4185,298968
16;33637;25356;100;34672407;4186,838546
17;33637;23756;100;36184827;4218,466088
18;31544;24950;100;39596100;4246,295182
19;41523;30764;100;42997569;4295,960162
20;33637;25922;100;36608165;4321,08511
21;34855;27172;100;36066520;4325,374981
22;31544;25224;100;46487681;4352,491153
23;31544;25516;100;41531858;4364,627357
24;41523;32930;100;43420907;4384,576926
25;42741;34180;100;42879262;4389,106824
26;41523;31330;100;44933327;4405,42842
27;41523;33496;100;45356665;4493,517711
28;42741;34746;100;44815020;4499,422448
29;33637;25366;100;39390650;4592,488637
30;33637;27532;100;39813988;4699,782486
31;31544;27126;100;44737681;4701,793059
32;34855;28782;100;39272343;4710,14188
